# Time-averaged data for fix dU
# TimeStep c_1[1] c_1[2] c_2[1] c_2[2]
0 -0.511374 2.37153 0.586719 0.371292
100 -0.497322 2.31591 0.576005 0.378071
200 -0.399604 1.96362 0.49714 0.431928
300 -0.351768 1.81125 0.458352 0.461165
400 -0.4244 2.04759 0.520514 0.415211
500 -0.358698 1.83256 0.466785 0.454645
600 -0.241286 1.50298 0.374267 0.531524
700 -0.183396 1.363 0.335481 0.567502
800 -0.263222 1.5597 0.407072 0.50288
900 -0.23502 1.48716 0.390906 0.516797
1000 -0.241823 1.50434 0.401064 0.508008
1100 -0.235024 1.48717 0.400292 0.50867
1200 -0.126866 1.23891 0.313087 0.589373
1300 -0.0814566 1.14746 0.281272 0.621903
1400 -0.097437 1.17885 0.298958 0.603604
1500 -0.114906 1.21414 0.318697 0.583816
1600 -0.105046 1.19409 0.311582 0.590873
1700 -0.0995701 1.1831 0.305576 0.596896
1800 -0.0557081 1.09864 0.26747 0.636568
1900 -0.105792 1.1956 0.313897 0.588568
2000 -0.112865 1.20996 0.326963 0.575724
2100 -0.110593 1.20533 0.326994 0.575693
2200 -0.128014 1.24132 0.340175 0.563021
2300 -0.139535 1.2657 0.34589 0.557614
2400 -0.123587 1.23207 0.329162 0.57359
2500 -0.211655 1.42962 0.40229 0.506957
2600 -0.235422 1.48817 0.421797 0.49053
2700 -0.259107 1.5489 0.442747 0.47348
2800 -0.169963 1.33244 0.371403 0.534101
2900 -0.129458 1.24435 0.345462 0.558017
3000 -0.00747164 1.0127 0.253367 0.65191
3100 0.0181754 0.969774 0.237076 0.670092
3200 0.0405297 0.933849 0.22222 0.687116
3300 0.0532571 0.913993 0.211208 0.700012
3400 0.0874269 0.862747 0.182738 0.734489
3500 -0.0232028 1.03996 0.273563 0.630051
3600 -0.00483133 1.00819 0.258811 0.645944
3700 -0.0336816 1.05853 0.283068 0.62002
3800 -0.0711343 1.12763 0.313421 0.58904
3900 -0.0483062 1.08499 0.296399 0.606218
4000 -0.0194739 1.03343 0.275053 0.628468
4100 -0.0430004 1.07531 0.293455 0.60924
4200 -0.0932776 1.1706 0.336361 0.56666
4300 -0.0185311 1.03179 0.272592 0.631086
4400 0.00401612 0.993241 0.255072 0.650035
4500 0.0684521 0.890839 0.202609 0.710251
4600 0.0355324 0.941763 0.228062 0.68037
4700 0.0143937 0.975987 0.24428 0.66199
4800 -0.00234933 1.00398 0.261422 0.643102
4900 0.0871725 0.863118 0.190575 0.724832
5000 0.103336 0.839877 0.176068 0.742807
5100 0.0498592 0.919252 0.2216 0.687836
5200 0.0391693 0.935997 0.232506 0.675283
5300 0.00397948 0.993303 0.267696 0.636325
5400 0.052097 0.915785 0.229933 0.678224
5500 -0.0193509 1.03322 0.29134 0.611419
5600 -0.00906856 1.01543 0.281238 0.621939
5700 0.0687062 0.890456 0.215246 0.695256
5800 0.0897472 0.859373 0.201572 0.711496
5900 0.109918 0.830595 0.191062 0.724236
6000 0.132214 0.799904 0.176855 0.741821
6100 0.160045 0.76318 0.152331 0.773187
6200 0.142113 0.786644 0.163682 0.758507
6300 0.114626 0.824018 0.187279 0.728878
6400 0.123757 0.811409 0.17965 0.738329
6500 0.165332 0.756397 0.147099 0.780048
6600 0.258359 0.646437 0.0694449 0.889346
6700 0.26862 0.635333 0.0643553 0.897023
6800 0.32513 0.577508 0.015659 0.973904
6900 0.27725 0.626141 0.0540305 0.9128
7000 0.273432 0.630191 0.0594196 0.904531
7100 0.279243 0.624038 0.0569092 0.908373
7200 0.294115 0.608561 0.0460943 0.925115
7300 0.226183 0.682532 0.105664 0.836583
7400 0.200221 0.713122 0.130261 0.802547
7500 0.265078 0.639144 0.0792117 0.874799
7600 0.217456 0.692666 0.118113 0.819179
7700 0.293703 0.608984 0.0514953 0.916716
7800 0.273322 0.630308 0.0668102 0.893312
7900 0.218251 0.691736 0.111915 0.827798
8000 0.165892 0.755682 0.160317 0.762831
8100 0.149171 0.777324 0.177544 0.740958
8200 0.221501 0.687951 0.123303 0.812032
8300 0.174842 0.744348 0.162526 0.75999
8400 0.158488 0.76519 0.174645 0.744594
8500 0.108766 0.832211 0.22164 0.687789
8600 0.0330698 0.945687 0.28347 0.619599
8700 0.00658799 0.988937 0.304992 0.597485
8800 0.0560776 0.90965 0.259321 0.645388
8900 0.0738924 0.882692 0.24234 0.664162
9000 0.00624954 0.989502 0.2923 0.610429
9100 0.091809 0.856386 0.221987 0.687386
9200 0.0919969 0.856115 0.223236 0.685938
9300 0.0764042 0.878956 0.237853 0.669214
9400 -0.0089553 1.01524 0.305078 0.597398
9500 -0.00571347 1.00969 0.302868 0.599632
9600 0.0921048 0.855959 0.226256 0.682449
9700 -0.0551582 1.09762 0.348891 0.554795
9800 -0.112885 1.21 0.399366 0.509466
9900 -0.0390192 1.06811 0.344246 0.559164
10000 -0.0676387 1.121 0.366585 0.538464
10100 -0.112094 1.20839 0.398547 0.510171
10200 -0.110408 1.20495 0.389114 0.518364
10300 -0.0627323 1.11175 0.344787 0.558653
10400 -0.0352771 1.06138 0.322615 0.579966
10500 -0.0536326 1.09479 0.338489 0.564627
10600 -0.0527694 1.0932 0.339405 0.563753
10700 0.0438326 0.928655 0.262804 0.641603
10800 0.107866 0.833478 0.216658 0.6936
10900 0.0997596 0.844965 0.22609 0.68264
11000 0.066265 0.894135 0.256981 0.647944
11100 -0.00252866 1.00428 0.319789 0.582741
11200 -0.0201848 1.03467 0.33016 0.572624
11300 -0.0840563 1.15251 0.374139 0.531639
11400 -0.0626136 1.11152 0.35384 0.550178
