# Time-averaged data for fix 1
# TimeStep c_1 c_2
200000 0.570205 -8137.74
400000 0.927287 -8137.74
600000 1.90164 -8137.75
800000 0.536326 -8137.73
1000000 -0.656247 -8137.72
1200000 -85.4119 -8137.81
1400000 -88.593 -8137.79
1600000 -85.839 -8137.78
1800000 -86.4258 -8137.78
2000000 -85.4039 -8137.78
2200000 -171.016 -8137.99
2400000 -171.463 -8137.99
2600000 -170.945 -8137.99
2800000 -168.535 -8138
3000000 -171.495 -8137.99
3200000 -266.011 -8138.33
3400000 -268.73 -8138.33
3600000 -264.576 -8138.35
3800000 -266.303 -8138.33
4000000 -268.688 -8138.33
4200000 -375.908 -8138.83
4400000 -381.162 -8138.8
4600000 -380.798 -8138.81
4800000 -380.031 -8138.8
5000000 -377.881 -8138.81
5200000 -514.069 -8139.37
5400000 -519.909 -8139.37
5600000 -515.421 -8139.37
5800000 -518.339 -8139.37
6000000 -513.016 -8139.37
6200000 -673.219 -8140.01
6400000 -673.13 -8140.01
6600000 -673.806 -8139.99
6800000 -670.865 -8140
7000000 -667.649 -8140.03
7200000 -839.129 -8140.78
7400000 -838.641 -8140.75
7600000 -841.413 -8140.74
7800000 -838.061 -8140.78
8000000 -839.128 -8140.76
8200000 -1024.5 -8141.63
8400000 -1020.8 -8141.64
8600000 -1030.39 -8141.62
8800000 -1027.49 -8141.63
9000000 -1027.61 -8141.63
9200000 -1208.94 -8142.65
9400000 -1214.8 -8142.61
9600000 -1205.03 -8142.67
9800000 -1209.54 -8142.67
10000000 -1208.84 -8142.67
10200000 -1392.83 -8143.71
10400000 -1389.49 -8143.79
10600000 -1397.9 -8143.78
10800000 -1392.17 -8143.77
11000000 -1392.5 -8143.78
