# Time-averaged data for fix 1
# TimeStep c_1 c_2
200000 2.32828 -5535.12
400000 0.510793 -5535.1
600000 2.41751 -5535.06
800000 0.9756 -5535.02
1000000 2.00344 -5535.01
1200000 -31.1953 -5535.05
1400000 -31.567 -5535.04
1600000 -31.9129 -5535.03
1800000 -31.4534 -5535.04
2000000 -31.6055 -5535
2200000 -63.5355 -5535.11
2400000 -63.9936 -5535.09
2600000 -64.6941 -5535.07
2800000 -66.3015 -5535.04
3000000 -64.3097 -5535.02
3200000 -105.911 -5535.26
3400000 -108.97 -5535.21
3600000 -106.7 -5535.22
3800000 -105.168 -5535.22
4000000 -106.065 -5535.24
4200000 -160.892 -5535.54
4400000 -158.938 -5535.48
4600000 -161.719 -5535.48
4800000 -158.268 -5535.49
5000000 -160.311 -5535.5
5200000 -231.071 -5535.86
5400000 -237.463 -5535.87
5600000 -229.836 -5535.89
5800000 -231.701 -5535.88
6000000 -233.788 -5535.91
6200000 -320.732 -5536.31
6400000 -320.653 -5536.31
6600000 -323.38 -5536.3
6800000 -317.272 -5536.3
7000000 -321.207 -5536.3
7200000 -422.091 -5536.8
7400000 -421.794 -5536.8
7600000 -425.544 -5536.78
7800000 -421.637 -5536.8
8000000 -418.826 -5536.79
8200000 -532.805 -5537.32
8400000 -533.764 -5537.33
8600000 -531.575 -5537.34
8800000 -533.59 -5537.32
9000000 -531.025 -5537.32
9200000 -653.209 -5537.91
9400000 -647.053 -5537.93
9600000 -646.529 -5537.93
9800000 -646.441 -5537.94
10000000 -647.706 -5537.93
10200000 -763.854 -5538.62
10400000 -755.434 -5538.61
10600000 -760.573 -5538.58
10800000 -759.278 -5538.61
11000000 -764.441 -5538.6
